Exercise Name | Preparation | Execution | Target_Muscles
Bench Press | Lie on the bench with your feet flat on the floor and grip the barbell slightly wider than shoulder-width | Lower the barbell to your chest and press it back up to the starting position | Chest, Shoulders, Triceps
Squat | Stand with feet shoulder-width apart, barbell resting on your shoulders | Lower your hips as if sitting back into a chair, then press back up | Quadriceps, Hamstrings, Glutes
Deadlift | Stand with feet hip-width apart, barbell on the floor in front of you | Bend at the hips and knees to grab the barbell, then stand up straight with the bar close to your body | Lower Back, Hamstrings, Glutes
Pull-up | Grab the pull-up bar with palms facing away, hands shoulder-width apart | Pull yourself up until your chin is over the bar, then lower back down | Back, Biceps
Lunges | Stand tall with feet together and hands on hips | Step forward with one leg and lower your hips until both knees are bent at a 90-degree angle | Quadriceps, Hamstrings, Glutes
Overhead Press | Stand with feet shoulder-width apart, barbell in front rack position | Press the barbell overhead until arms are fully extended, then lower back down | Shoulders, Triceps
Barbell Row | Bend at the hips with a slight bend in the knees, holding the barbell with an overhand grip | Pull the barbell towards your abdomen, then lower it back down | Back, Biceps
Lat Pulldown | Sit on the machine with your knees secured under the pads | Pull the bar down to your chest, squeezing your shoulder blades together, then release back up | Back, Biceps
Leg Press | Sit on the machine with feet flat on the platform | Push the platform away from you by extending your legs, then lower it back down | Quadriceps, Hamstrings, Glutes
Dumbbell Curl | Stand tall with a dumbbell in each hand, arms fully extended | Curl the dumbbells up to shoulder height, then lower them back down | Biceps
Tricep Dips | Place your hands on the edge of a bench or parallel bars, legs extended in front | Lower your body by bending your elbows, then press back up | Triceps, Shoulders, Chest
Plank | Lie face down on the floor, propping your body up on your forearms and toes | Hold your body in a straight line from head to heels, engaging your core | Core
Leg Raises | Lie on your back with legs fully extended | Lift your legs until they form a 90-degree angle with your torso, then lower them back down | Lower Abs
Mountain Climbers | Get into a high plank position with your arms fully extended | Drive one knee towards your chest, then switch legs quickly | Core, Shoulders
Burpees | Stand with feet shoulder-width apart | Drop into a squat, place your hands on the floor, kick your legs back into a plank, then return to standing with a jump | Full Body
Russian Twists | Sit on the floor with knees bent and feet lifted off the ground | Twist your torso from side to side, touching the floor with your hands | Core
Chest Fly | Lie on a bench with a dumbbell in each hand, arms extended above your chest | Lower the dumbbells out to the sides, then bring them back together | Chest, Shoulders
Calf Raise | Stand with your toes on the edge of a step, heels hanging off | Raise your heels as high as possible, then lower back down | Calves
Leg Curl | Lie face down on the leg curl machine | Curl the pad towards your glutes, then lower it back down | Hamstrings
Leg Extension | Sit on the leg extension machine with your feet under the pad | Extend your legs until fully straight, then lower the pad back down | Quadriceps
Hip Thrust | Sit on the floor with your back against a bench, barbell over your hips | Lift your hips up until your thighs are parallel to the floor, then lower them back down | Glutes, Hamstrings
Seated Row | Sit on the row machine with feet braced and hands holding the handles | Pull the handles towards your torso, then release back out | Back, Biceps
Lat Raise | Stand with a dumbbell in each hand at your sides | Raise the dumbbells out to the sides until arms are parallel to the ground, then lower back down | Shoulders
Cable Crossover | Stand in the middle of a cable machine with handles in each hand | Bring the handles together in front of your chest, then slowly release them back | Chest
Hammer Curl | Stand with a dumbbell in each hand, palms facing inward | Curl the dumbbells up towards your shoulders, then lower them back down | Biceps
Front Squat | Stand with feet shoulder-width apart, barbell resting on your shoulders | Lower your hips as if sitting back into a chair, then press back up | Quadriceps, Glutes
Push-up | Get into a high plank position with arms extended | Lower your body until your chest nearly touches the floor, then push back up | Chest, Shoulders, Triceps
Side Plank | Lie on your side with legs extended, propping yourself up on one forearm | Hold your body in a straight line, engaging your core | Core, Obliques
Pec Deck | Sit on the machine with your arms at shoulder height, gripping the handles | Bring the handles together in front of your chest, then release them back | Chest, Shoulders
Cable Crunch | Kneel in front of a cable machine with a rope attachment behind your head | Crunch your torso down, bringing your elbows towards your knees, then release back | Core
Rope Tricep Pushdown | Stand facing a cable machine with a rope attachment | Push the rope down until your arms are fully extended, then release back up | Triceps
Reverse Fly | Sit on the edge of a bench with a dumbbell in each hand | With arms slightly bent, raise the dumbbells out to the sides, then lower back down | Shoulders, Back
Step-up | Stand in front of a bench with one foot on it | Step up onto the bench, driving through your heel, then step back down | Quadriceps, Glutes
Chest Press Machine | Sit on the machine with your feet flat on the ground | Push the handles forward until arms are fully extended, then release back | Chest, Shoulders, Triceps
Decline Bench Press | Lie on a decline bench with a barbell | Lower the barbell to your chest, then press it back up | Chest, Shoulders, Triceps
Bicycle Crunch | Lie on your back with knees bent and hands behind your head | Bring one knee towards your chest while twisting your torso, then switch sides | Core
Skull Crushers | Lie on a bench with a barbell held above your chest | Lower the barbell towards your forehead, then press it back up | Triceps
